Product id,Data S2 Name,Group,id,Product_details,Country,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys,Weight
1,Wheat & Rye (Bread),starch_rich,147,Wheat,"Iran, Islamic Republic of",4.43,4.43,0.0,12.9,1.44,18.09,6.47,3612.02,229233.89,C,0.009971402757475406
1,Wheat & Rye (Bread),starch_rich,148,Wheat,"Iran, Islamic Republic of",2.54,2.54,0.0,40.12,1.05,18.42,7.02,734.94,68403.35,C,0.013959963860465567
1,Wheat & Rye (Bread),starch_rich,149,Wheat,"Iran, Islamic Republic of",3.95,3.95,0.0,55.65,2.7,12.35,3.27,3166.83,203066.79,C,0.013959963860465567
1,Wheat & Rye (Bread),starch_rich,150,Wheat,"Iran, Islamic Republic of",2.48,2.48,0.0,39.15,1.32,16.77,8.32,948.37,85882.38,C,0.0019942805514950816
1,Wheat & Rye (Bread),starch_rich,151,Wheat,"Iran, Islamic Republic of",1.93,1.93,0.0,30.52,0.88,7.44,4.15,937.77,84921.71,C,0.0019942805514950816
1,Wheat & Rye (Bread),starch_rich,152,Wheat,"Iran, Islamic Republic of",2.21,2.21,0.0,34.81,1.02,10.02,5.3,946.0,85667.2,C,0.0019942805514950816
1,Wheat & Rye (Bread),starch_rich,153,Wheat,"Iran, Islamic Republic of",4.23,4.23,0.0,66.78,0.82,4.98,2.93,2.11,86.54,C,0.0019942805514950816
1,Wheat & Rye (Bread),starch_rich,154,Wheat,"Iran, Islamic Republic of",3.03,3.03,0.0,47.77,1.5,20.08,9.85,959.55,86896.01,C,0.0019942805514950816
1,Wheat & Rye (Bread),starch_rich,155,Wheat,"Iran, Islamic Republic of",2.6,2.6,0.0,41.03,1.07,10.51,5.67,945.21,85595.75,C,0.009971402757475406
1,Wheat & Rye (Bread),starch_rich,159,Winter wheat,Italy,1.66,1.66,0.0,25.22,1.01,4.46,4.48,2.19,38.96,C,0.9753817367704405
1,Wheat & Rye (Bread),starch_rich,160,Winter wheat,Italy,1.98,1.98,0.0,30.22,1.09,4.55,5.76,2.19,38.96,C,0.9753817367704405
1,Wheat & Rye (Bread),starch_rich,161,Wheat,Italy,1.06,1.06,0.0,3.49,1.04,7.17,4.66,389.12,1156.22,C,5.852290420622642
1,Wheat & Rye (Bread),starch_rich,162,Wheat,Italy,1.6,1.6,0.0,5.27,1.12,18.98,11.31,389.15,1156.31,O,1.950763473540881
1,Wheat & Rye (Bread),starch_rich,163,Wheat,Italy,1.36,1.36,0.0,4.47,1.09,6.30,1.0,2.19,38.96,C,3.901526947081762
1,Wheat & Rye (Bread),starch_rich,164,Wheat,Italy,1.74,1.74,0.0,5.72,1.12,5.79,4.63,2.19,38.96,C,5.852290420622642
1,Wheat & Rye (Bread),starch_rich,178,Wheat,Mexico,2.4,2.4,0.0,137.24,0.86,12.30,7.5,172.85,201.07,C,0.1739930909802377
1,Wheat & Rye (Bread),starch_rich,179,Wheat,Mexico,3.4,3.4,0.0,194.28,2.36,15.46,7.08,158.76,188.13,C,0.05799769699341257
1,Wheat & Rye (Bread),starch_rich,180,Wheat,Mexico,2.32,2.32,0.0,132.27,0.52,11.88,5.61,172.5,200.75,C,0.05799769699341257
1,Wheat & Rye (Bread),starch_rich,183,Wheat,Nepal,2.32,2.32,0.0,47.24,1.7,18.85,77.38,710.8,9832.47,C,0.02393136661794098
1,Wheat & Rye (Bread),starch_rich,184,Wheat,Nepal,2.4,2.4,0.0,48.81,1.7,19.01,42.7,435.74,6030.85,C,0.0019942805514950816
1,Wheat & Rye (Bread),starch_rich,185,Wheat,Nepal,1.96,1.96,0.0,39.98,1.48,16.17,22.53,409.19,5663.79,C,0.0019942805514950816
1,Wheat & Rye (Bread),starch_rich,193,Spring wheat,Norway,2.6,2.6,0.0,1.2,2.34,8.46,5.84,2.19,1.4,C,0.001846378553685097
1,Wheat & Rye (Bread),starch_rich,194,Winter wheat,Norway,2.45,2.45,0.0,1.13,2.24,8.76,6.13,2.19,1.4,C,0.001846378553685097
1,Wheat & Rye (Bread),starch_rich,195,Wheat,Norway,1.67,1.67,0.0,0.72,1.62,8.69,3.54,2.19,1.4,C,0.001846378553685097
1,Wheat & Rye (Bread),starch_rich,198,Wheat,Poland,3.5,3.5,0.0,7.62,1.79,6.71,3.29,2.19,4.26,C,20.494510531201204
1,Wheat & Rye (Bread),starch_rich,199,Wheat,Poland,2.44,2.44,0.0,3.78,1.9,7.84,11.75,101.89,227.99,C,3.8427207246002264
1,Wheat & Rye (Bread),starch_rich,200,Wheat,Poland,2.44,2.44,0.0,3.77,1.71,7.10,9.81,101.78,227.75,C,3.8427207246002264
1,Wheat & Rye (Bread),starch_rich,202,Wheat,Portugal,5.76,5.76,0.0,86.89,1.95,19.34,5.43,899.29,31274.72,C,1.8909995379733664
1,Wheat & Rye (Bread),starch_rich,207,Wheat,Spain,3.35,3.35,0.0,54.65,1.26,7.75,4.77,6.55,353.3,C,7.563998151893464
1,Wheat & Rye (Bread),starch_rich,209,Winter wheat,Sweden,1.72,1.72,0.0,0.73,1.23,5.70,0.69,2.19,8.84,C,0.005539135661055291
