Product id,Data S2 Name,Group,id,Product_details,Country,Weight,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys
1,Wheat & Rye (Bread),starch_rich,178,Wheat,Mexico,0.2559726962457338,2.4,2.4,0.0,137.24,0.86,12.30,7.5,172.85,201.07,C
1,Wheat & Rye (Bread),starch_rich,179,Wheat,Mexico,0.08532423208191127,3.4,3.4,0.0,194.28,2.36,15.46,7.08,158.76,188.13,C
1,Wheat & Rye (Bread),starch_rich,180,Wheat,Mexico,0.08532423208191127,2.32,2.32,0.0,132.27,0.52,11.88,5.61,172.5,200.75,C
1,Wheat & Rye (Bread),starch_rich,183,Wheat,Nepal,1.0238907849829353,2.32,2.32,0.0,47.24,1.7,18.85,77.38,710.8,9832.47,C
1,Wheat & Rye (Bread),starch_rich,184,Wheat,Nepal,0.08532423208191127,2.4,2.4,0.0,48.81,1.7,19.01,42.7,435.74,6030.85,C
1,Wheat & Rye (Bread),starch_rich,185,Wheat,Nepal,0.08532423208191127,1.96,1.96,0.0,39.98,1.48,16.17,22.53,409.19,5663.79,C
1,Wheat & Rye (Bread),starch_rich,193,Spring wheat,Norway,0.08532423208191127,2.6,2.6,0.0,1.2,2.34,8.46,5.84,2.19,1.4,C
1,Wheat & Rye (Bread),starch_rich,194,Winter wheat,Norway,0.08532423208191127,2.45,2.45,0.0,1.13,2.24,8.76,6.13,2.19,1.4,C
1,Wheat & Rye (Bread),starch_rich,195,Wheat,Norway,0.08532423208191127,1.67,1.67,0.0,0.72,1.62,8.69,3.54,2.19,1.4,C
1,Wheat & Rye (Bread),starch_rich,198,Wheat,Poland,1.3651877133105803,3.5,3.5,0.0,7.62,1.79,6.71,3.29,2.19,4.26,C
1,Wheat & Rye (Bread),starch_rich,199,Wheat,Poland,0.2559726962457338,2.44,2.44,0.0,3.78,1.9,7.84,11.75,101.89,227.99,C
1,Wheat & Rye (Bread),starch_rich,200,Wheat,Poland,0.2559726962457338,2.44,2.44,0.0,3.77,1.71,7.10,9.81,101.78,227.75,C
1,Wheat & Rye (Bread),starch_rich,202,Wheat,Portugal,0.17064846416382254,5.76,5.76,0.0,86.89,1.95,19.34,5.43,899.29,31274.72,C
1,Wheat & Rye (Bread),starch_rich,207,Wheat,Spain,0.68259385665529,3.35,3.35,0.0,54.65,1.26,7.75,4.77,6.55,353.3,C
1,Wheat & Rye (Bread),starch_rich,209,Winter wheat,Sweden,0.2559726962457338,1.72,1.72,0.0,0.73,1.23,5.70,0.69,2.19,8.84,C
1,Wheat & Rye (Bread),starch_rich,210,Winter wheat,Sweden,0.42662116040955633,1.31,1.31,0.0,1.88,1.05,4.75,2.96,2.19,8.84,C
1,Wheat & Rye (Bread),starch_rich,211,Winter wheat,Sweden,0.2559726962457338,2.81,2.81,0.0,1.77,1.41,5.17,4.05,2.19,8.84,C
1,Wheat & Rye (Bread),starch_rich,212,Winter wheat,Sweden,0.2559726962457338,1.69,1.69,0.0,1.06,1.16,5.07,1.65,2.19,8.84,C
